Tweet_count,Username,Text,Created At,Retweets,Likes
43,Gabriel Oguda,"Don't ever forget where this hubris originated from. For two years straight, Rigathi Gachagua made it his mission to vomit on our shoes with this shareholder talk as if Kenya was his personal property. They will not believe. https://t.co/UDP8x1l0rN",Sat Jul 13 10:15:43 +0000 2024,4315,9027
44,"H.E. Rigathi Gachagua, EGH","Early this morning, I returned  to the Mountain to thank God for the rains. I took time to give thanks to the Almighty for His Grace and Mercy in giving us rain after five failed consecutive seasons - the worst drought in 40 years. https://t.co/wRgM8BzoQY",Sat Mar 18 08:10:04 +0000 2023,446,5312
45,F.M,Embattled Rigathi Gachagua has just requested the clerks officials in the parliament to play a video of him speaking to Muthurwa market traders. Just caught the MPs by surprise. Evidence kwa kalatas 😂 https://t.co/I4R0MBXEoj,Tue Oct 08 15:00:51 +0000 2024,23,119
46,"H.E. Rigathi Gachagua, EGH","Timecheck, 5:30am: 

Kenya is a working Nation.

A very early and  bright Thursday morning, like any other day of work. https://t.co/ymywb2xex8",Thu Mar 30 04:36:51 +0000 2023,607,6868
47,Yoko,"Linet Toto was so close to Rigathi Gachagua. She even took her with some youths to Arusha for African Youths Forum. Sold her name there.

She today voted yes, the same way aliruka boda boda guy who used to help her before she got money. Fear wimen https://t.co/C4wiHA6t3u",Tue Oct 08 18:52:33 +0000 2024,123,393
48,Evanson M Kimemia,"Dear Rigathi Gachagua, before resignation, here is Kiambu County , Kikuyu Constituency! You have our Support!  
Murima si yake! You are the Real son of May Mau! 
Show him the middle figure🖕 and sit on that office with both buttocks!
Kenya is not His! https://t.co/8kugnKNtv4",Mon Oct 07 16:22:31 +0000 2024,8,85
49,Gfrm Moon 🇰🇪🇺🇲,"Rigathi Gachagua never held an IEBC certificate.
Never ignore the red flag what mole. https://t.co/6SRAK9kclb",Mon Oct 07 17:41:43 +0000 2024,15,52
50,Ahmednasir Abdullahi SC,Looks like DP RIGATHI GACHAGUA will join a long and illustrious list of Vice Presidents whose political career ended prematurely...good people what happened to my favourite politician from Central Kenya? https://t.co/3ukxNjRHhi,Sat Jun 15 17:53:42 +0000 2024,506,2993
51,Omwamba 🇰🇪,"BREAKING NEWS
Muranga Woman Rep Betty Njeri Maina joins her Husband Mathira Member of Parliament Eric Wamumbi in voting YES to Impeach their dowry Negotiator Deputy President Rigathi Gachagua. Fear People! https://t.co/PWHkAMjLjz",Tue Oct 08 18:00:59 +0000 2024,230,1015
52,MureaCollins🇰🇪,@WilliamsRuto Yet accusing DP Rigathi Gachagua of being a Tribalist https://t.co/TN5AQwwJcV,Mon Oct 07 16:00:35 +0000 2024,15,154
53,"H.E. Rigathi Gachagua, EGH","A hard working Nation is a growing Nation. It is only through hard work that we will stabilise our economy and become prosperous.
 
An early morning in the office at Harambee House Annex today to serve Kenyans as we work to implement our Plan.

Our focus to raise the standards of https://t.co/59WwVkLVJw",Tue May 02 03:54:26 +0000 2023,403,4074
54,Omwamba 🇰🇪,"Stop whatever you are doing and see how DP Rigathi Gachagua laughed when addressing Resignation. This is Funny!
THIS SHOULD BE TRENDING 😂 https://t.co/CQ8fSf1SEd",Mon Oct 07 18:16:25 +0000 2024,1012,4894
55,H.E President William Ruto (Commentary),281 MPs in the National Assembly decided to impeach Deputy President Rigathi Gachagua. They had to vocalise Bye Bye Geoffrey. The Senate will also have an opportunity to decide if the situation will remain to be #KwaheriWamitego https://t.co/7D9hCXodWQ,Wed Oct 09 05:07:49 +0000 2024,8,20
56,"H.E. Rigathi Gachagua, EGH","Happy Birthday, My Love @Pastor_Dorcas. https://t.co/eO98pCWJrT",Wed Oct 18 07:48:32 +0000 2023,293,3787
57,Omwamba 🇰🇪,"Former Kiambu Governor William Kabogo Explains why DP Rigathi Gachagua is being impeached; Says When Rigathi Gachagua Talked about Director of Intelligence(NIS), he knew its Over. https://t.co/GtVdPvqfMK",Tue Oct 08 06:30:52 +0000 2024,514,2508
58,Munee 🦋,Nderitu Gachagua and Kibaki in heaven listening to Rigathi Gachagua speech. https://t.co/KKvchHT7Si,Mon Oct 07 17:42:38 +0000 2024,388,3989
59,KOT Socha 🇰🇪,Rigathi Gachagua nextweek in mathira https://t.co/Bd0PazK022,Tue Oct 08 18:28:04 +0000 2024,140,776
60,Maina,Rigathi Gachagua ìn his prime days https://t.co/FGOeT2Diqe,Mon Oct 07 12:34:39 +0000 2024,3,80
61,Omwamba 🇰🇪,Look at What Mumias East Member of Parliament Peter Salasya and Sabina Chege were doing while other MPs were busy discussing DP Rigathi Gachagua’s Impeachment motion in Parliament. https://t.co/GY4uMlEWYY,Tue Oct 08 11:01:23 +0000 2024,531,3915
62,Mutembei TV,"It is alleged that DP Gachagua called Baringo Women Rep ""Malaya""

Rigathi Gachagua ARRESTED Eldoret #FreeMoraraKebaso Millie Odhiambo Githurai Reece James Wamuchomba Erick Ten Hag Wetangula Riggy G Amerix #CustomerServiceWeek Aoko Cameroon #AboveAndBeyond https://t.co/AXIpMgNUm8",Tue Oct 08 14:18:51 +0000 2024,3,11
63,George Njoroge,"Betty Njeri Maina, Murang’a Woman Rep, and her husband, Mathira MP Eric Wamumbi, just voted YES to impeach their own dowry negotiator, Rigathi Gachagua. No loyalty, no honor. They turned on him like it’s nothing. You think you can trust anyone? People will betray you faster than https://t.co/wRvGko3GEx",Tue Oct 08 18:40:17 +0000 2024,82,228
64,Okumu Ajinga,"Imagine being Nyeri Governor Mutahi Kahiga now. I feel so sorry for him. He has been defending Rigathi Gachagua from President William Ruto since their 1st day at work, and let him put up the resignation . Being a little bitch is scarce, State House is becoming hotter.
Coup https://t.co/gG7KAjBgnD",Mon Oct 07 15:43:22 +0000 2024,13,108
65,Comrade Wa MUST,"Rigathi Gachagua: Children of other people I know hide their money in Cayman Island and in Dubai.

The Children of other people👇👇 https://t.co/ldjuCW4gTb",Mon Oct 07 17:35:22 +0000 2024,359,1447
66,"H.E. Rigathi Gachagua, EGH","It was only yesterday afternoon that General Ogolla and I had a really hearty conversation at the Bomas of Kenya during the Wage Bill Conference. 

General Ogolla was a very vibrant, pleasant and joyous person, with a distinct and admirable demeanour. 

He served our Nation with https://t.co/GH1HwZRkNx",Thu Apr 18 19:10:00 +0000 2024,501,5551
67,Helter Skelter,What can you tell Rigathi Gachagua after all those Yes ?🥲 https://t.co/2OxXWkAKiF,Tue Oct 08 17:44:05 +0000 2024,44,278
68,"H.E. Rigathi Gachagua, EGH","A Leader's Word Must Have Value. The Value is in Keeping a Promise made.

Early today, I hosted Maina Muchangi, my friend of close to two decades, for breakfast at home in Mathira, Nyeri County.
We met 18 years ago; we agreed that whenever we meet, I must take care of him-by https://t.co/U5V4iQh3Sm",Sun Sep 24 09:58:01 +0000 2023,297,3355
69,Francis Gaitho,"None of the companies owned by Rigathi Gachagua is involved in the fields of innovation, science, medicine, agriculture, manufacturing, value-addition, education, sports, arts, and the likes. 

They’re all briefcase outfits purpose-built for tenders and supplies. 

And that’s https://t.co/uIKsTvanP4",Tue Oct 08 02:56:35 +0000 2024,477,1360
70,K24 TV,“Very soon we will never hear about him (DP Rigathi Gachagua) ever again” - Gladys Boss Shollei https://t.co/tVhMrz75AN,Tue Oct 08 08:18:40 +0000 2024,171,1107
71,Kijana Ya Atwoli ( parody ),Rigathi Gachagua is not the problem. Ruto is !! https://t.co/ToqOt6tToR,Tue Oct 08 20:06:04 +0000 2024,91,420
72,MetroBoomin,"Lest you forget,Rigathi gachagua is not your friend,He shamelessly stood in front of kenyans and lied that they found empty coffers while they found about 3.1Trillion. Whatever he says right now is to save himself,the greedy snakes are feeding on each other,dint get involved. You",Tue Oct 08 17:13:15 +0000 2024,1234,4011
73,S_I_M_O_N,Rigathi Gachagua's brother kule heaven 🤣😂 https://t.co/SG30yFURen,Mon Oct 07 17:00:10 +0000 2024,603,3730
74,Kijana Ya Atwoli ( parody ),Rigathi Gachagua transformation has been real though 😂😂. Riggy G is a truthful man https://t.co/qIeCQYyPWx,Tue Oct 08 15:12:37 +0000 2024,74,808
75,Omwamba 🇰🇪,"In a scale of 1 to 10,
How can you Rate DP Rigathi Gachagua Address?
Indeed Rigathi Gachagua is a Truthful Man. https://t.co/bkYEzAqub8",Wed Jun 26 15:14:10 +0000 2024,1123,9996
76,Gabriel Oguda,"Exactly three years ago, Citizen TV's Waihiga Mwaura asked Mathira MP Rigathi Gachagua to explain how his bank accounts ended up with 220m shillings. The response will shock you. https://t.co/r9pFMLtdf6",Mon Oct 07 20:29:29 +0000 2024,716,3305
77,Omwamba 🇰🇪,Today's Bold Headlines Ladies and Gentlemen. It's all about Embattled DP Rigathi Gachagua! https://t.co/F6d42XuSSI,Wed Oct 09 03:51:35 +0000 2024,39,134
78,TheStarKenya,"With the removal of Deputy President Rigathi Gachagua appearing imminent, intense jostling for his replacement has started in earnest in the Mt Kenya region.

#Starinfographics https://t.co/tWg61rCNH4",Tue Oct 08 11:49:32 +0000 2024,2,24
79,Helter Skelter,"If you met Rigathi Gachagua today, what would you tell him? https://t.co/2dGopDlH5l",Tue Oct 08 18:40:22 +0000 2024,35,258
